Year,ClubNum,Req01,Req02,Req03,Req04,Req05,Req06,Req07,Req08,Req09,Req10
2009,784,1,0,0,0,0,0,1,1,0,0
2009,3989,1,0,1,1,1,1,1,1,1,0
2009,8379,1,0,1,1,0,0,0,0,0,1
2009,375,0,0,0,0,0,0,1,1,0,0
2009,3975,1,1,1,1,0,0,1,1,1,1
2009,4553,1,0,1,1,0,0,1,1,0,0
2009,647252,1,0,1,1,0,0,1,1,0,0
2009,780094,0,0,1,0,0,0,1,0,0,1
2009,619,1,0,1,0,1,0,1,1,0,1
2009,531,1,0,1,1,1,1,1,1,1,1
2009,8533,0,0,0,0,0,0,0,0,0,0
2009,8695,0,0,1,0,0,0,1,0,0,1
2009,905038,1,1,1,0,1,1,1,1,1,1
2009,1291901,0,0,0,0,0,0,0,0,0,0
2009,7818,1,1,1,1,1,1,1,1,1,1
2009,639550,0,0,1,0,0,0,1,0,1,1
2009,716047,1,0,1,0,0,0,0,0,0,1
2009,1021224,1,0,1,0,1,1,1,1,1,1
2009,3022,0,0,1,1,0,0,1,1,0,1
2009,7329,0,0,1,0,0,0,1,1,0,1
2009,603677,1,1,1,1,1,1,1,1,1,1
2009,631413,1,1,1,1,1,1,1,1,1,0
2009,1028217,0,0,0,0,0,0,0,0,0,0
2009,3557,1,1,1,0,1,1,1,1,1,1
2009,4780,1,1,1,0,0,0,1,1,1,1
2009,8102,0,0,1,0,0,0,1,1,0,1
2009,698823,0,0,0,0,0,0,0,0,1,1
2009,810454,1,0,1,1,1,1,1,0,1,1
2009,1097218,1,0,0,0,0,0,1,1,0,1
2009,1112188,1,0,1,0,1,1,1,0,0,1
2009,1197248,0,0,0,0,0,0,0,0,0,0
2010,375,0,0,0,0,0,0,1,1,0,1
2010,619,1,0,1,0,1,0,1,1,1,1
2010,784,0,0,1,0,0,0,1,0,1,0
2010,3022,1,0,0,0,1,0,1,0,0,1
2010,3557,1,1,1,0,1,1,1,1,1,1
2010,3975,1,1,1,0,0,0,1,1,1,1
2010,3989,1,1,0,0,1,1,1,1,1,1
2010,4553,0,0,1,0,0,0,1,1,0,1
2010,4780,1,0,1,0,1,0,1,1,1,1
2010,5314,1,1,1,0,1,1,1,1,1,1
2010,7329,1,1,1,1,0,0,1,1,1,1
2010,7818,1,0,1,1,1,1,1,1,1,1
2010,8102,1,1,1,1,1,1,1,1,1,1
2010,8379,0,0,1,0,0,0,0,0,0,0
2010,8533,0,0,0,0,0,0,0,0,0,0
2010,8695,1,0,1,0,0,0,0,0,0,1
2010,603677,1,0,1,0,0,0,1,0,0,1
2010,631413,1,1,1,1,1,1,1,1,0,1
2010,639550,0,0,1,0,0,0,1,0,0,1
2010,647252,1,1,0,0,1,0,1,1,1,1
2010,698823,0,0,1,0,1,0,1,0,0,0
2010,716047,0,0,0,0,0,0,1,1,0,0
2010,780094,0,0,1,0,0,0,1,1,1,0
2010,810454,1,0,1,0,1,0,1,1,1,1
